BW:CW	BLACK WIDOW: COLDEST WAR	1990
BW:DO	BLACK WIDOW: DEADLY ORIGIN	2010
BWULF	BLACKWULF	1994-1995
BXSE	BISHOP XSE	1998
C	CABLE (BLOOD AND METAL)	1992
C2	CABLE VOL. 2	1993-2002
C3	CABLE VOL. 3	2008-2010
C&D	CLOAK & DAGGER	1983-1984
C&D2	CLOAK & DAGGER VOL. 2	1985-1987
C&D3	CLOAK & DAGGER VOL. 3 (MUTANT MISADVENTURES)	1988-1991
C&D4	CLOAK & DAGGER VOL. 4	2010
C&NM	CABLE & NEW MUTANTS TPB	1992
C&P	(ADVENTURES OF) CYCLOPS & PHOENIX	1994
C&P2	(FURTHER ADVENTURES OF) CYCLOPS & PHOENIX	1996
C&XFOR	CABLE & X-FORCE	2013-2014
C/MM	CABLE/MACHINE MAN	1998
C:DS	CENTURY: DISTANT SONS	1996
C:GENE	CODENAME: GENETIX	1993
C:S	CODENAME: SPITFIRE	1987
CA	CAPTAIN AMERICA	1968-1996, 2009-2011
CA2	CAPTAIN AMERICA VOL. 2	1996-1997
CA3	CAPTAIN AMERICA VOL. 3	1998-2002
CA4	CAPTAIN AMERICA VOL. 4	2002-2004
CA5	CAPTAIN AMERICA VOL. 5	2004-2009
CA6	CAPTAIN AMERICA VOL. 6	2011-2012
CA7	CAPTAIN AMERICA VOL. 7	2013-2014
CA8	CAPTAIN AMERICA VOL. 8	2014-
CA65AS	CAPTAIN AMERICA 65TH ANNIVERSARY SPECIAL	2006
CA&B	CAPTAIN AMERICA & BATROC	2011
CA&CRB	CAPTAIN AMERICA & CROSSBONES	2011
CA&F	CAPTAIN AMERICA & FALCON	2004-2005
CA&F2	CAPTAIN AMERICA & FALCON VOL. 2	2011
CA&FT	CAPTAIN AMERICA & THE FIRST THIRTEEN	2011
CA&SECA	CAPTAIN AMERICA & SECRET AVENGERS	2011
CA/CV	CAPTAIN AMERICA/CITIZEN V	1998
CA/NF:BT	CAPTAIN AMERICA/NICK FURY: BLOOD TRUCE	1995
CA/NF:OWW	CAPTAIN AMERICA/NICK FURY: OTHER WORLD WAR	2001
CA:DC	CAPTAIN AMERICA: DIRECTORS CUT	2007
CA:DMR	CAPTAIN AMERICA: DEAD MEN RUNNING	2002
CA:DW	CAPTAIN AMERICA: DRUG WARS	1994
CA:FA	CAPTAIN AMERICA: FOREVER ALLIES	2010-2011
CA:LEGEND	CAPTAIN AMERICA: LEGEND	1996
CA:ME	CAPTAIN AMERICA: MEDUSA EFFECT	1994
CA:MOOT	CAPTAIN AMERICA: MAN OUT OF TIME	2010-2011
CA:P	CAPTAIN AMERICA: PATRIOT	2010-2011
CA:REBORN	CAPTAIN AMERICA: REBORN	2009-2010
CA:RW&B TPB	CAPTAIN AMERICA: RED WHITE & BLUE TRADE PAPERBACK	2002
